Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser(""http://shopbachhoaweb.wuaze.com/"")",Chrome 131.0.0.0,,,30-11-2024 09:58:03,30-11-2024 09:58:26,23.163s,PASSED
driver = getWebDriver(),Chrome 131.0.0.0,,,30-11-2024 09:58:26,30-11-2024 09:58:26,0.005s,PASSED
"navigateToUrl(""http://shopbachhoaweb.wuaze.com/"")",Chrome 131.0.0.0,,,30-11-2024 09:58:26,30-11-2024 09:58:32,5.738s,PASSED
"click(findTestObject(""Shopping Cart/a_Product Details""))",Chrome 131.0.0.0,,,30-11-2024 09:58:32,30-11-2024 09:58:38,6.331s,PASSED
"click(findTestObject(""Shopping Cart/btn_PD_Add To Cart""))",Chrome 131.0.0.0,,,30-11-2024 09:58:38,30-11-2024 09:58:45,7.295s,PASSED
"click(findTestObject(""Shopping Cart/a_Cart""))",Chrome 131.0.0.0,,,30-11-2024 09:58:45,30-11-2024 09:58:50,5.247s,PASSED
"productRows = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 131.0.0.0,,,30-11-2024 09:58:50,30-11-2024 09:58:51,0.461s,PASSED
"assert productRows.size() > 0 : ""Cart is still empty after adding products!""",Chrome 131.0.0.0,,,30-11-2024 09:58:51,30-11-2024 09:58:51,0.001s,PASSED
lastRow = productRows.get(productRows.size() - 1),Chrome 131.0.0.0,,,30-11-2024 09:58:51,30-11-2024 09:58:51,0.001s,PASSED
"sNameProductDelete = xpath(""/html/body/div[8]/div/div/div/form/div[1]/table/tbody/tr[2]/td[3]"")).getText()",Chrome 131.0.0.0,,,30-11-2024 09:58:51,30-11-2024 09:58:51,0.303s,PASSED
"btnRemove = lastRow.findElement(By.xpath(""//td[9]/a/i""))",Chrome 131.0.0.0,,,30-11-2024 09:58:51,30-11-2024 09:58:51,0.290s,PASSED
"driver.executeScript(""arguments[0].scrollIntoView(true);"", btnRemove)",Chrome 131.0.0.0,,,30-11-2024 09:58:51,30-11-2024 09:58:51,0.022s,PASSED
btnRemove.click(),Chrome 131.0.0.0,,,30-11-2024 09:58:51,30-11-2024 09:58:52,0.120s,PASSED
alert().accept(),Chrome 131.0.0.0,,,30-11-2024 09:58:52,30-11-2024 09:58:52,0.010s,PASSED
"updatedProductRows = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 131.0.0.0,,,30-11-2024 09:58:52,30-11-2024 09:58:59,7.358s,PASSED
if (updatedProductRows.size() > 0),Chrome 131.0.0.0,,,30-11-2024 09:58:59,30-11-2024 09:58:59,0.002s,PASSED
else,Chrome 131.0.0.0,,,30-11-2024 09:58:59,30-11-2024 09:59:00,0.602s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,30-11-2024 09:59:00,30-11-2024 09:59:00,0.002s,PASSED
,,,,,,,
Test Cases/Shopping Cart/SC_Continue shopping,Chrome 131.0.0.0,"Check your cart, click the 'Continue Shopping' button, do you return to the home page to continue shopping?",,30-11-2024 09:59:00,30-11-2024 10:01:51,2m - 51.231s,PASSED
"openBrowser(""http://shopbachhoaweb.wuaze.com/"")",Chrome 131.0.0.0,,,30-11-2024 09:59:00,30-11-2024 09:59:45,45.688s,PASSED
driver = getWebDriver(),Chrome 131.0.0.0,,,30-11-2024 09:59:45,30-11-2024 09:59:45,0.003s,PASSED
"navigateToUrl(""http://shopbachhoaweb.wuaze.com/"")",Chrome 131.0.0.0,,,30-11-2024 09:59:45,30-11-2024 10:00:09,23.813s,PASSED
"click(findTestObject(""Shopping Cart/a_Product Details""))",Chrome 131.0.0.0,,,30-11-2024 10:00:09,30-11-2024 10:00:33,24.174s,PASSED
"click(findTestObject(""Shopping Cart/btn_PD_Add To Cart""))",Chrome 131.0.0.0,,,30-11-2024 10:00:33,30-11-2024 10:01:00,26.748s,PASSED
"click(findTestObject(""Shopping Cart/a_Cart""))",Chrome 131.0.0.0,,,30-11-2024 10:01:00,30-11-2024 10:01:24,24.148s,PASSED
"productRows = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 131.0.0.0,,,30-11-2024 10:01:24,30-11-2024 10:01:25,0.275s,PASSED
"assert productRows.size() > 0 : ""Cart is still empty after adding products!""",Chrome 131.0.0.0,,,30-11-2024 10:01:25,30-11-2024 10:01:25,0.001s,PASSED
"click(findTestObject(""Shopping Cart/a_Continue Shopping""))",Chrome 131.0.0.0,,,30-11-2024 10:01:25,30-11-2024 10:01:51,26.053s,PASSED
currentUrl = getUrl(),Chrome 131.0.0.0,,,30-11-2024 10:01:51,30-11-2024 10:01:51,0.033s,PASSED
"expectedUrl = ""http://shopbachhoaweb.wuaze.com/index.php""",Chrome 131.0.0.0,,,30-11-2024 10:01:51,30-11-2024 10:01:51,0.008s,PASSED
"verifyMatch(currentUrl, expectedUrl, false)",Chrome 131.0.0.0,,,30-11-2024 10:01:51,30-11-2024 10:01:51,0.051s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,30-11-2024 10:01:51,30-11-2024 10:01:51,0.000s,PASSED
,,,,,,,
Test Cases/Shopping Cart/SC_Proceed to checkout,Chrome 131.0.0.0,"Checkout cart, click 'Proceed to checkout' button, does it redirect to checkout page?",,30-11-2024 10:01:51,30-11-2024 10:03:42,1m - 51.093s,PASSED
"openBrowser(""http://shopbachhoaweb.wuaze.com/"")",Chrome 131.0.0.0,,,30-11-2024 10:01:51,30-11-2024 10:02:29,37.636s,PASSED
driver = getWebDriver(),Chrome 131.0.0.0,,,30-11-2024 10:02:29,30-11-2024 10:02:29,0.000s,PASSED
"navigateToUrl(""http://shopbachhoaweb.wuaze.com/"")",Chrome 131.0.0.0,,,30-11-2024 10:02:29,30-11-2024 10:02:53,24.060s,PASSED
"click(findTestObject(""Shopping Cart/a_Product Details""))",Chrome 131.0.0.0,,,30-11-2024 10:02:53,30-11-2024 10:03:17,24.384s,PASSED
"click(findTestObject(""Shopping Cart/btn_PD_Add To Cart""))",Chrome 131.0.0.0,,,30-11-2024 10:03:17,30-11-2024 10:03:25,7.559s,PASSED
"click(findTestObject(""Shopping Cart/a_Cart""))",Chrome 131.0.0.0,,,30-11-2024 10:03:25,30-11-2024 10:03:30,5.227s,PASSED
"productRows = driver.findElements(By.xpath(""//table/tbody/tr""))",Chrome 131.0.0.0,,,30-11-2024 10:03:30,30-11-2024 10:03:30,0.430s,PASSED
"assert productRows.size() > 0 : ""Cart is still empty after adding products!""",Chrome 131.0.0.0,,,30-11-2024 10:03:30,30-11-2024 10:03:30,0.003s,PASSED
"click(findTestObject(""Shopping Cart/a_Proceed to Checkout""))",Chrome 131.0.0.0,,,30-11-2024 10:03:30,30-11-2024 10:03:42,11.482s,PASSED
currentUrl = getUrl(),Chrome 131.0.0.0,,,30-11-2024 10:03:42,30-11-2024 10:03:42,0.093s,PASSED
"expectedUrl = ""http://shopbachhoaweb.wuaze.com/checkout.php""",Chrome 131.0.0.0,,,30-11-2024 10:03:42,30-11-2024 10:03:42,0.000s,PASSED
"verifyMatch(currentUrl, expectedUrl, false)",Chrome 131.0.0.0,,,30-11-2024 10:03:42,30-11-2024 10:03:42,0.008s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,30-11-2024 10:03:42,30-11-2024 10:03:42,0.006s,PASSED
